Loading model: chatgpt-oss-20b.safetensors (fmt=safetensors)
Prompt: Simulation 3: chatgpt-oss 20B
Step 710: token=60, lp=0.600001
Step 711: token=60, lp=0.600001
Step 712: token=60, lp=0.600001
Step 713: token=60, lp=0.600001
Step 714: token=60, lp=0.600001
Step 715: token=60, lp=0.600001
Step 716: token=60, lp=0.600001
Step 717: token=60, lp=0.600001
Step 718: token=60, lp=0.600001
Step 719: token=60, lp=0.600001
Step 720: token=60, lp=0.600001
Step 721: token=60, lp=0.600001
Step 722: token=60, lp=0.600001
Step 723: token=60, lp=0.600001
Step 724: token=60, lp=0.600001
Step 725: token=60, lp=0.600001
Step 726: token=60, lp=0.600001
Step 727: token=60, lp=0.600001
Step 728: token=60, lp=0.600001
Step 729: token=60, lp=0.600001
Step 730: token=60, lp=0.600001
Step 731: token=60, lp=0.600001
Step 732: token=60, lp=0.600001
Step 733: token=60, lp=0.600001
Step 734: token=60, lp=0.600001
Step 735: token=60, lp=0.600001
Step 736: token=60, lp=0.600001
Step 737: token=60, lp=0.600001
Step 738: token=60, lp=0.600001
Step 739: token=60, lp=0.600001
Step 740: token=60, lp=0.600001
Step 741: token=60, lp=0.600001
Step 742: token=60, lp=0.600001
Step 743: token=60, lp=0.600001
Step 744: token=60, lp=0.600001
Step 745: token=60, lp=0.600001
Step 746: token=60, lp=0.600001
Step 747: token=60, lp=0.600001
Step 748: token=60, lp=0.600001
Step 749: token=60, lp=0.600001
Step 750: token=60, lp=0.600001
Step 751: token=60, lp=0.600001
Step 752: token=60, lp=0.600001
Step 753: token=60, lp=0.600001
Step 754: token=60, lp=0.600001
Step 755: token=60, lp=0.600001
Step 756: token=60, lp=0.600001
Step 757: token=60, lp=0.600001
Step 758: token=60, lp=0.600001
Step 759: token=60, lp=0.600001
Step 760: token=60, lp=0.600001
Step 761: token=60, lp=0.600001
Step 762: token=60, lp=0.600001
Step 763: token=60, lp=0.600001
Step 764: token=60, lp=0.600001
Step 765: token=60, lp=0.600001
Step 766: token=60, lp=0.600001
Step 767: token=60, lp=0.600001
Step 768: token=60, lp=0.600001
Step 769: token=60, lp=0.600001
Step 770: token=60, lp=0.600001
Step 771: token=60, lp=0.600001
Step 772: token=60, lp=0.600001
Step 773: token=60, lp=0.600001
Step 774: token=60, lp=0.600001
Step 775: token=60, lp=0.600001
Step 776: token=60, lp=0.600001
Step 777: token=60, lp=0.600001
Step 778: token=60, lp=0.600001
Step 779: token=60, lp=0.600001
Step 780: token=60, lp=0.600001
Step 781: token=60, lp=0.600001
Step 782: token=60, lp=0.600001
Step 783: token=60, lp=0.600001
Step 784: token=60, lp=0.600001
Step 785: token=60, lp=0.600001
Step 786: token=60, lp=0.600001
Step 787: token=60, lp=0.600001
Step 788: token=60, lp=0.600001
Step 789: token=60, lp=0.600001
Step 790: token=60, lp=0.600001
Step 791: token=60, lp=0.600001
Step 792: token=60, lp=0.600001
Step 793: token=60, lp=0.600001
Step 794: token=60, lp=0.600001
Step 795: token=60, lp=0.600001
Step 796: token=60, lp=0.600001
Step 797: token=60, lp=0.600001
Step 798: token=60, lp=0.600001
Step 799: token=60, lp=0.600001
Step 800: token=60, lp=0.600001
Step 801: token=60, lp=0.600001
Step 802: token=60, lp=0.600001
Step 803: token=60, lp=0.600001
Step 804: token=60, lp=0.600001
Step 805: token=60, lp=0.600001
Step 806: token=60, lp=0.600001
Step 807: token=60, lp=0.600001
Step 808: token=60, lp=0.600001
Step 809: token=60, lp=0.600001
